"","hsa-let-7e","hsa-mir-106a","hsa-mir-10a","hsa-mir-128-1","hsa-mir-128-2","hsa-mir-141","hsa-mir-146a","hsa-mir-146b","hsa-mir-150","hsa-mir-155","hsa-mir-17","hsa-mir-182","hsa-mir-183","hsa-mir-18a","hsa-mir-200c","hsa-mir-20a","hsa-mir-20b","hsa-mir-215","hsa-mir-29a","hsa-mir-335","hsa-mir-34c","hsa-mir-363","hsa-mir-381","hsa-mir-4661","hsa-mir-4772","hsa-mir-485","hsa-mir-629","hsa-mir-651","hsa-mir-708","hsa-mir-9-1","hsa-mir-9-2","hsa-mir-9-3","hsa-mir-92a-1","hsa-mir-92a-2","hsa-mir-93","hsa-mir-96"
"TCGA-SY-A9G5",10.099380392323,2.21393730499892,12.4932660159359,5.18679642716266,5.1739256131921,9.49683447809277,5.65346292345407,8.64807701211686,7.46748399994322,6.22104000170641,8.63786136803367,11.4232834153899,9.64029565021981,2.46702587777748,12.3114111656827,7.70967171938739,2.93202166303732,1.7068682285317,12.4943786157104,6.60470473653315,1.47470132418387,2.56886026106353,5.66959893807866,1.03659546634873,3.06344599269369,2.26337940914274,5.4254050549743,1.09238133597705,4.7088648234362,7.14115932697073,7.13453143289794,7.10432322884853,11.5153638670355,11.5121317061801,11.1785655437397,3.28311488169564
"TCGA-DK-AA76",10.3542820301283,4.52877714451572,12.3343427252083,5.65196797803464,5.67328818327795,11.8138623228988,4.95736731050357,5.50909023257847,6.12659981042555,4.19709848066798,10.1495650960412,13.0848860386755,12.3579540289159,4.8365768268912,13.8945681048877,10.2441691188079,6.40032207273284,9.2236946007929,9.25024336228646,6.00013535902049,1.64200558372987,4.90425927044218,3.79189011012398,0.998639618743545,0.699393495951852,0.584055241226993,4.57482079870732,1.6985558826916,3.20702572499071,8.81346758576442,8.81226684611492,8.8042362727593,12.7605684374058,12.7604127955557,14.2243110040512,6.31019508029446
"TCGA-G2-AA3D",10.1225899511908,3.42898867391943,12.7498383439795,5.7528167111189,5.39632210513027,10.6328699843133,6.70601262820555,8.64075244057704,10.266379834248,6.79860986551381,9.44192047801362,13.7063656963857,12.0545830202468,5.06900268692408,12.4601508786949,8.79151067617213,5.31012806376106,2.74402134117749,12.6355150315216,7.85180853418488,1.39417716279592,3.89154371599619,5.1205597192774,1.78348976157898,2.08975981897132,2.98561718915596,6.42765930079157,2.45366559437231,3.85141774560969,8.84485563687332,8.86766639260795,8.89383095588331,12.9701895017523,12.9675522278494,13.9307750109419,5.90758756151798
"TCGA-XF-A9SZ",10.3869817639602,2.09461004090577,13.4771243780089,5.80296823755181,5.72438863676334,9.53494063059472,6.07708293038834,8.50507332039162,6.24351980792156,5.34768638249293,8.47696700746327,11.1739279004984,9.83646372898005,2.97338130758122,11.692597367209,8.43797149090506,4.82064999566225,1.26417788949289,10.6656944853894,11.0620241941485,2.19617927069889,2.72412897396827,5.64128122169401,0.20885058311058,2.97338130758122,2.42263022544833,5.93371572045446,1.06375763488065,6.29880003066638,4.27653433303772,4.07794656851813,4.36643706568656,11.9920080232356,11.9845963586205,12.2224921396563,3.30432397580127
"TCGA-XF-A9T5",8.73372806072762,2.77901802506637,11.9655346263252,5.94796368780947,5.65603514354073,11.2149964103401,6.98474796518789,9.29176133726636,9.26155973420064,8.56688481791145,9.56976012343715,13.2863997670211,11.9072602073034,3.76185883276035,13.5567902566397,9.431332945854,3.46627655018947,0.877895774042103,12.7546180735365,6.92632881609063,1.97523580307218,1.97523580307218,4.79733313757521,2.77901802506637,3.22911535503604,1.81273560871626,7.3158192883656,3.16318987231684,5.6072856560981,7.43584421551256,7.4112054771727,7.41828815988024,13.4095730219328,13.4031168511665,13.7985203618368,5.21026385455425
"TCGA-XF-AAME",9.28226255011706,1.90461781195288,11.6982905260801,5.22135561417617,5.30846430706306,6.5942682089373,7.22703332834107,8.8451683536759,9.1862070222822,6.63773202571315,8.1262930009033,9.51857997269335,9.42952650847805,2.91525623897752,10.8214319629278,8.00469389041591,3.60732699924643,0.508092914306644,12.3724829153686,3.74996089907035,3.23930256144813,2.4416885019381,6.11228840556073,1.03943462495545,1.98374371791611,3.58212096126009,5.36866765021068,2.26288982852419,5.32375231098634,7.72992972928301,7.70241416503062,7.70387550808254,11.5233248700271,11.5228074870713,11.9541631236562,1.73202080443556
"TCGA-XF-AAMR",9.34193318803011,2.01894568003289,12.2431151719179,4.64309851824912,4.98523281470074,7.10640978811105,3.12182358125663,6.66261493162092,5.32574164752891,3.42493887925637,6.95066083453293,10.3487238294586,8.74771043572933,1.73378816862518,10.7568739765042,6.99243843997652,3.95768248616512,0.368209598099273,10.8101771322395,4.46462736392834,1.45654333931247,2.53539980856265,4.5655057250987,0.52218132648105,0.52218132648105,1.37802601916739,4.04920599877838,1.37802601916739,2.76871365703048,6.19191787219866,6.21468820921242,6.30499234051973,11.2123705703777,11.1897429201644,11.5281712088211,1.66931028620247
"TCGA-XF-AAN0",7.70873774486441,5.19570389684666,16.9094901693568,5.07402565706903,4.93378643020213,8.79238636772648,5.56248535666469,7.5963423755143,7.66393706875006,6.38154376445772,9.1330855569237,11.785046914951,10.0383619356491,2.77620950103445,11.3987602064272,8.76237893238612,7.34752258431074,1.11776152478036,10.745666598799,5.59544550635594,0.69959871478263,5.17716077652405,4.3576693859563,0.893807183458518,2.36018276931378,1.77323976647889,4.32435180528631,1.35621876079413,4.29024656275127,5.39339938174556,5.50416898704038,5.48419434235304,12.27190972002,12.2860850230778,12.7642195539881,3.66687029903648
"TCGA-XF-AAN3",9.45311871701618,1.61943132296555,12.6087523291921,4.81962169363667,4.78904769605097,9.75845174883982,6.46503959230797,7.94340454951323,7.05903559637858,6.58112015037611,8.13943438192402,12.5110051937946,10.9336883522439,2.72802149411913,13.0196743555117,7.97430673643236,2.08978557648061,0.374151431353885,11.7853079842112,5.30341615681576,2.08978557648061,1.31056406999989,4.65982867991316,1.61943132296555,1.75215640839107,2.36319322911793,5.80916578429913,1.61943132296555,6.00810344958836,4.11138518011365,4.27476692610173,4.13588909753794,11.9674258979461,11.9361563808858,11.6076835744891,4.3810870307785
"TCGA-XF-AAN5",8.6449154062514,3.67033061291687,12.7168933797699,5.3669370734977,5.38529400917158,10.0709899916588,8.51423167354928,9.95810291160082,8.71516938132237,7.22801130559549,9.67405204973866,11.0503984489838,9.58175697257495,4.75486302957336,13.4255721946144,9.80339700458926,2.44332710222923,0.397329833620402,13.0125310195524,4.1018556925436,3.92242165812874,1.48373375892879,4.28507731695079,0.964363881410836,3.81818181000599,1.53724934339407,6.26660913450652,2.19957278562912,4.11070867367351,7.42719389494489,7.4543994376533,7.39040589134079,12.9405552980662,12.9452221525826,12.9113620300748,3.83964109151009
