"","hsa-mir-1180","hsa-mir-127","hsa-mir-134","hsa-mir-141","hsa-mir-148a","hsa-mir-181c","hsa-mir-187","hsa-mir-200b","hsa-mir-200c","hsa-mir-210","hsa-mir-29b-1","hsa-mir-29b-2","hsa-mir-379","hsa-mir-409","hsa-mir-410","hsa-mir-429","hsa-mir-432","hsa-mir-487b","hsa-mir-584","hsa-mir-889","hsa-mir-135b","hsa-mir-200a"
"TCGA-50-5072",4.57812961120898,9.52161210882214,8.10282941498937,9.29383232119393,13.9636047590706,4.45210533854171,1.39766991022645,8.06907510411716,12.639300517503,6.9727480175128,5.25686475677865,5.29073155579888,10.7608147556076,3.43410015465333,6.48021476905045,5.21514645615338,3.97386967019131,2.21188253348584,5.89452621246435,5.02703476584899,4.246585030771,7.69839876910514
"TCGA-53-7624",2.90130252059038,6.42297700124374,5.01494854181433,9.42901061242157,13.566581347229,5.04502575034388,1.0155960483826,5.84639700771614,12.4345640479099,9.7371964886103,6.24654946139287,6.25300632229701,7.19404122824448,1.60571998917124,2.24682517712757,3.76568675173678,0.749456177675598,1.0155960483826,9.3892631625392,2.52809867757133,3.57271229089124,6.35856973082328
"TCGA-69-7974",3.92718222822979,6.79553832722255,5.431476610333,8.13150485890926,13.6864902426919,4.21606026241674,2.04668661925179,7.70658191758991,11.928201155479,11.1856155653911,7.5466360940476,7.49169859946355,7.43859821910013,2.04668661925179,1.96001898937367,4.47237436597653,1.29003271148799,0.311374069286393,4.40835168570121,2.04668661925179,3.8569656771035,7.65060726548257
"TCGA-73-7498",3.66645382135411,5.73870431899669,4.19421678164381,9.03390557389503,15.0578303290569,5.97019614900429,2.27670479176941,8.52019668799826,12.73543424833,9.44217506649393,8.82397256724021,8.7925157983039,6.23860379839874,1.28814413549182,1.69747315263885,6.3896144075244,1.08519484015288,0.714531280380564,5.2423973283682,1.89686740679878,7.00257362381496,8.88929470650092
"TCGA-J2-8194",4.22609184520698,8.04675930873611,5.84012820269327,9.3484371231103,13.000653969371,6.67849928247655,3.76252401218564,8.56172216252919,12.7143626640409,9.72136847576451,7.88004579966433,7.91973967650873,8.10630755885768,1.94755133501949,3.42148656283985,5.63146156422423,2.618930936099,1.28012251579813,5.53696558248922,2.86509214504034,6.1204478292822,8.32130895571218
"TCGA-62-8398",4.95756864456217,7.01716806990327,5.43710543362529,10.3197634289133,14.295190770308,3.91014318521894,4.01325267414614,8.89661026776673,13.5889294359456,11.5257925161953,7.49620867960933,7.58424843043763,7.78555697925043,2.32471643641952,2.50537065292728,5.62465180415922,1.47616235013926,0.738360582701548,7.88814921715984,2.81034232761417,5.71307637864462,8.60957240901831
"TCGA-97-8547",2.98954268745806,8.49627661588704,6.91645070435659,8.37929435471665,14.872201229849,5.45612836353907,5.48508540261844,6.76412107473724,11.676756019734,10.826364160897,8.10769196454572,8.0526574516556,9.2394536176339,3.02152023601284,2.92337930859039,4.68609657205025,1.72860581687472,1.37964923904496,3.61050613085789,3.25463530980947,5.25562116672055,7.36582583302417
"TCGA-55-A48X",4.58158830214023,7.35485192129121,5.37776677841574,9.26441273026543,14.6341303131229,4.83262660968876,4.27746937515794,9.0653525900669,12.4822568942246,9.32068358545135,8.16654037402504,8.08426154792697,7.37146777654427,2.01217853890141,2.78203064676127,6.87327954361158,2.26074411385674,0.463872474428786,3.90994855897679,3.16414425827963,5.66335184990322,8.81808942976132
"TCGA-55-A48Y",4.38347828134488,7.94301097090835,6.30247173967138,9.9213194260675,14.4700313037666,6.10428773736417,0.474713263274383,9.35838185656209,13.3065311450347,9.84696994056071,8.11912422109337,8.08640709180467,8.30833661806051,2.77497171274886,3.19888337734109,7.34953313046483,2.4021925276152,1.73891955495249,3.00244185772921,3.52610988781663,5.30650049371134,8.97065141098616
"TCGA-62-A46U",3.45301244876128,2.59802211947647,1.36711941084528,9.25954949414585,14.0469161542683,3.38919507717555,2.16189090627282,7.25246529548112,12.4415015376419,10.4412554125495,9.33699751252888,9.35485707712118,3.78600609524972,0.706481927757152,0.396060821144745,5.12111365012295,0,0.211579188959018,2.21193578348986,0.706481927757152,5.5141621941744,7.11620629816776
